,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,has_added_app,were_here_count,likes,talking_about_count,stock_symbol
1161,republic services,2018-07-17,43138,12009,Environmental Services,5452,f,0,44250,8508,RSG
1162,resellerclub,2018-03-10,1582,53,Internet,0,f,0,24475,7647,
1163,resmed,2018-07-17,33736,3424,Medical Devices,1816,f,1816,23903,8219,
1164,revlon,2018-04-09,123866,6957,Cosmetics,0,f,0,9231821,139518,
1165,"rf industries, inc.",2018-07-17,503,50,Wireless,33,f,33,103,99,THO
1166,rgs energy,2018-07-17,6883,247,Renewables & Environment,148,f,142,11265,866,
1167,ricebran technologies,2018-07-17,349,33,Food & Beverages,1986,f,1984,233362,63036,RIBT
1168,rigzone,2018-07-17,60267,124,Oil &amp; Energy,62,f,0,172842,25128,
1169,ringcentral,2018-07-17,42460,2588,Telecommunications,336,f,336,38201,6828,RNG
1170,riot creative imaging,2017-03-21,736,97,Printing,3,f,0,513,12,
1171,ritchie bros.,2018-07-17,30834,1852,Machinery,904,f,10475,329185,24227,
1172,rite aid,2018-07-17,66354,26752,Retail,0,f,321009,837674,57441,
1173,rli insurance company,2018-07-17,5814,1031,Insurance,1,f,1,283,24,
1174,roadrunner transportation systems,2018-07-17,7336,937,Transportation/Trucking/Railroad,211,f,0,5399,396,RRTS
1175,robert half,2018-07-17,459069,37403,Staffing and Recruiting,0,f,0,8173,355,
1176,roberts,2018-02-17,949,232,Construction,0,f,2714,740533,27192,
1177,rocawear,2018-02-17,1164,64,Apparel & Fashion,0,f,0,401185,27809,
1178,rockland trust,2018-07-17,3759,1062,Banking,245,f,0,10077,1378,
1179,rockwell automation,2018-07-17,272842,20729,Industrial Automation,1308,f,0,135689,16721,ROK
1180,rockwell collins,2018-07-17,102827,19751,Aviation &amp; Aerospace,362,f,0,21149,6681,
1181,rosetta stone,2018-07-17,22150,651,Computer Software,0,f,566,2746285,86777,RST
1182,rowan companies,2018-07-17,42498,2061,Oil &amp; Energy,0,f,0,28454,563,
1183,royal bank of scotland,2016-07-20,282153,58597,Banking,1750,f,0,112059,25979,RY^T
1184,rpm international inc.,2018-07-17,4800,185,Chemicals,54,f,0,7789,560,RPM
1185,rubicon project,2018-07-17,20032,696,Internet,428,f,0,3894,320,
1186,"rush enterprises, inc",2018-07-17,8032,1982,Transportation/Trucking/Railroad,1721,f,0,11733,2726,RUSHB
1187,ruth's chris steak house,2018-07-17,6345,2611,Restaurants,15951,f,1713309,112103,9008,
1188,ryanair,2016-03-07,48454,4490,Airlines/Aviation,8643,f,8643,2436893,130062,
1189,"ryder system, inc.",2018-07-17,66504,24560,Transportation/Trucking/Railroad,3164,f,7988,19817,3103,R
1190,s&p global,2018-07-17,80626,31043,Information Services,2111,f,2111,43606,4469,SPGI
1191,s&p global market intelligence,2018-02-17,67859,18134,Financial Services,183,f,183,16303,839,
1192,sabre corporation,2018-07-17,121793,8762,Information Technology and Services,1816,f,1816,22862,2693,SABR
1193,saexploration,2018-07-17,4260,434,Oil & Energy,0,f,0,3960,664,
1194,safeguard scientifics,2018-07-17,1184,87,Venture Capital & Private Equity,12,f,12,2479,17,SFE
1195,safety insurance,2018-07-17,2133,539,Insurance,160,f,160,1348,76,
1196,safety signs service,2018-07-17,44,5,Retail,0,f,0,19,1,
1197,sailpoint,2018-07-17,15948,922,Computer Software,193,f,0,2345,1364,
1198,salem media group,2018-07-17,7538,1564,Broadcast Media,203,f,203,1924,204,SALM
1199,salesforce,2018-07-17,1034453,30810,Internet,5232,f,0,696608,25157,
1200,sallie mae,2018-07-17,12064,3098,Financial Services,430,f,0,53687,2892,
1201,sally beauty,2018-07-17,24773,4594,Retail,0,f,111352,757893,45037,
1202,sancho bbdo,2018-07-17,14462,580,Marketing and Advertising,3554,f,3554,41686,2545,
1203,sanderson farms chicken,2018-05-29,6599,1601,Food Production,0,f,0,84944,42307,SAFM
1204,sandy spring bank,2018-07-17,2324,721,Banking,163,f,0,3011,506,
1205,sanmina,2018-07-17,91899,18877,Electrical/Electronic Manufacturing,4561,f,0,9964,400,
1206,sanofi genzyme,2018-07-17,168097,10330,Biotechnology,35,f,0,6624,4142,
1207,santander brasil,2018-07-17,210747,10868,Banking,39788,f,0,3762463,360597,BSBR
1208,sap,2018-07-17,1219187,120336,Computer Software,16226,f,0,1030708,23873,
1209,sap concur,2018-07-17,82268,6719,Computer Software,501,f,0,31544,1095,
1210,sarepta therapeutics,2018-07-17,10083,382,Biotechnology,0,f,0,58012,4775,SRPT
1211,saucony,2018-02-17,15194,170,Sporting Goods,349,f,355,1488886,47650,
1212,sb one bank,2018-07-17,467,106,Banking,5,f,0,769,217,SBBX
1213,sba communications,2018-07-17,43414,1444,Telecommunications,5,f,5,89,7,BCOM
1214,scansource,2018-07-17,10603,1481,Wholesale,1110,f,1110,1388,569,SCSC
1215,scholastic,2018-07-17,73459,7766,Publishing,8920,f,8920,390463,133035,
1216,seacoast bank,2018-07-17,5416,809,Banking,460,f,733,10122,9443,
1217,seamless.com,2018-02-17,2866,68,Consumer Services,0,f,0,520342,14644,
1218,seaspan corporation,2018-07-17,15404,1193,Maritime,308,f,0,6596,1541,SSWA
1219,seaspine inc,2018-07-17,5169,294,Medical Devices,90,f,90,134,53,
1220,seattle's best coffee,2018-02-17,712,146,Marketing and Advertising,0,f,4094,863756,113083,
1221,select medical,2018-07-17,24352,5131,Hospital & Health Care,569,f,569,5198,1312,
1222,selecta biosciences,2017-07-12,2798,75,Biotechnology,4,f,4,102,78,SELB
1223,semileds,2018-07-17,284,37,Semiconductors,0,f,0,187,2,
1224,sendgrid,2018-07-17,10042,474,Information Technology and Services,218,f,0,11796,689,
1225,sensoryeffects,2018-07-17,1167,132,Food Production,25,f,25,257,38,
1226,sequans communications,2018-07-17,2554,242,Semiconductors,24,f,24,98,10,SQNS
1227,seres therapeutics,2018-07-17,4064,182,Biotechnology,0,f,0,818,488,MCRB
1228,servicemaster,2018-07-17,21099,8605,Consumer Services,1050,f,1050,6754,4180,
1229,servicenow,2018-07-17,124134,7589,Computer Software,2706,f,2706,15947,16755,NOW
1230,severn bank,2018-07-17,795,107,Banking,70,f,70,827,587,
1231,shake shack,2018-07-17,12600,1463,Hospitality,267932,f,769524,322830,35677,SHAK
1232,"sharps compliance, inc.",2018-07-17,1546,95,Environmental Services,0,f,0,1554,21,SMED
1233,sharpspring,2018-07-17,3198,178,Marketing and Advertising,152,f,152,12769,657,SHSP
1234,shiloh industries,2018-07-17,12438,1428,Automotive,0,f,0,727,57,SHLO
1235,shipstation,2018-02-17,1582,143,Internet,105,f,45,11212,654,
1236,"shoe carnival, inc.",2018-07-17,4855,1825,Retail,0,f,73535,1584294,46722,SCVL
1237,shopify,2018-07-17,66521,3719,Internet,0,f,2259,3296432,258172,
1238,shore united bank,2018-07-17,143,58,Banking,14,f,14,1686,737,
1239,"shutterfly, inc.",2018-07-17,27580,2265,Internet,0,f,0,3243505,119071,SFLY
1240,shutterstock,2018-07-17,31635,2909,Internet,0,f,0,734603,180371,SSTK
1241,sibanye-stillwater,2018-07-17,4329,1149,Mining & Metals,1784,f,1784,2277,945,
1242,"sientra, inc.",2018-07-17,2551,139,Medical Devices,11,f,11,274,38,SIEN
1243,sigmatron international,2018-07-17,1424,331,Electrical/Electronic Manufacturing,0,f,0,27215,4684,SGMA
1244,signet,2018-07-17,16130,3479,Retail,54,f,54,979,34,
1245,silgan containers,2018-07-17,4859,1144,Packaging and Containers,10,f,10,594,239,
1246,silicon labs,2018-07-17,39043,1472,Semiconductors,3,f,3,30499,16759,
1247,simmons bank,2018-07-17,3613,1207,Banking,0,f,3490,10198,4417,
1248,simon and schuster,2018-03-09,30980,1698,Publishing,1632,f,0,137303,30546,
1249,"simulations plus, inc.",2018-07-17,1915,60,Computer Software,2,f,2,101,20,SLP
1250,siriusxm,2018-07-17,34510,2828,Entertainment,0,f,0,1325532,409635,
1251,six flags,2018-07-17,21167,5001,Entertainment,0,f,0,5081381,47783,
1252,skechers,2018-07-17,48835,5017,Apparel &amp; Fashion,0,f,51153,4931767,21943,
1253,skyhook,2018-07-17,1776,80,Computer Software,87,f,87,752,143,
1254,skype,2018-02-17,77786,1395,Computer Software,0,f,0,29262024,178638,
1255,skyscanner,2018-03-13,38981,1064,Internet,0,f,0,9804558,36632,
1256,smart & final,2018-07-17,9178,2024,Retail,808,f,58417,106170,13499,
1257,smartertravel,2018-02-17,5510,155,"Leisure, Travel & Tourism",0,f,0,148048,8983,
1258,smartsheet,2018-07-17,18111,985,Computer Software,0,f,0,11871,2017,SMAR
