Companies,LD_follower_change,FB_likes_change,FB_talking_change,job_count,Revenue_change
google,9.898790650898883e-11,6.152093772700491e-11,-2.1463345058070946e-12,195426,0.23410038050371448
amazon,9.50134406793355e-11,2.520892941143826e-11,-4.73005757517971e-12,544635,1.226
aon,2.500043875129372e-11,0.0,0.0,34485,0.772
yahoo,1.1431587756882143e-12,4.453599582735187e-11,1.7483254158549947e-10,14,-0.029197080291970826
delta,0.0,9.033607237888414e-11,-4.1227481313690935e-13,18,0.802
