,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,were_here_count,likes,talking_about_count,stock_symbol
1371,tesla motors,2016-06-26,722541,8623,Automotive,0,0,1577502,249486,1
1372,tetra tech,2018-07-17,69950,8966,Renewables & Environment,142,0,32868,16969,0
1373,texas instruments,2018-07-17,289880,24985,Semiconductors,0,0,391,44,1
1374,texas roadhouse,2018-07-17,25725,2810,Restaurants,7,20682021,2677306,76938,0
1375,textron,2018-07-17,60625,17564,Aviation &amp; Aerospace,215,0,6640,356,1
1376,textura corporation,2018-03-14,4703,333,Information Technology and Services,189,189,550,92,0
1377,the aes corporation,2018-07-17,40998,3762,Utilities,136,0,8200,2648,0
1378,"the andersons, inc.",2018-07-17,10835,1174,Food Production,0,0,3980,2875,0
1379,the axis agency,2018-02-17,1505,33,Marketing and Advertising,152,152,2476,512,1
1380,the bank of greene county,2018-07-17,1731,89,Banking,67,0,1554,476,1
1381,the capital grille,2018-07-17,4040,1243,Restaurants,27,1642592,231719,13675,1
1382,the cheesecake factory,2018-07-17,44092,9168,Restaurants,0,11272986,5109568,219644,0
1383,the children's place,2018-07-17,66079,2143,Retail,836,4591,2273490,36025,1
1384,the coca-cola company,2018-07-17,1725971,66756,Food &amp; Beverages,19492,17544,1150614,105279,0
1385,the container store,2018-07-17,25494,2561,Retail,0,153411,467131,14296,1
1386,the daily telegram,2018-02-17,59,45,Graphic Design,290,290,28500,12818,1
1387,the dallas morning news,2018-02-17,11696,1068,Newspapers,5225,0,422514,197163,1
1388,the deal,2018-07-17,3200,308,Information Services,4,4,326,13,1
1389,the des moines register,2018-02-17,2236,328,Newspapers,925,0,135402,145878,1
1390,the dow chemical company,2018-07-17,465734,35829,Chemicals,4209,0,107896,16056,1
1391,the fauquier bank,2018-07-17,138,97,Banking,0,0,2213,82,1
1392,the hartford,2018-07-17,77930,17305,Financial Services,7560,0,145603,19324,1
1393,the home depot,2018-07-17,358299,82754,Retail,0,4177604,4668011,176817,1
1394,the howard hughes corporation,2018-07-17,25617,539,Real Estate,135,0,3843,15923,0
1395,the manitowoc company,2018-07-17,34359,1834,Machinery,0,0,6795,1444,1
1396,the medicines company,2018-07-17,9416,871,Pharmaceuticals,163,163,291,6,0
1397,the mosaic company,2018-07-17,33327,3091,Mining &amp; Metals,122,0,5273,617,0
1398,the new home company inc.,2018-07-17,2097,209,Real Estate,63,63,8909,1961,0
1399,the pantagraph,2018-07-17,644,92,Newspapers,260,0,39751,18180,1
1400,the proven method,2018-07-17,689,70,Information Technology and Services,8,8,220,13,1
1401,the provident bank,2018-06-20,3693,688,Banking,231,231,10741,2307,1
1402,the southern illinoisan,2018-07-17,939,78,Media Production,437,435,50019,11354,1
