,index_x,company_name,dataset_id_x,as_of_date,followers_count,employees_on_platform,link,industry,date_added,date_updated_x,level_0,index_y,dataset_id_y,time,checkins,has_added_app,were_here_count,likes,talking_about_count,facebook_id,date_updated_y
1457,4579,twitter,58757,2018-07-17,579499,5057,https://www.linkedin.com/company/96622,Internet,2018-07-17 20:18:17.509856+00,2018-07-17 20:18:17.509906+00,4484,4484,56220,2018-07-17 04:00:00+00,1,f,0,16137106,85061,278029242253904,2018-07-18 05:49:08.317708+00
1458,4581,two river community bank,894994,2018-07-17,307,121,https://www.linkedin.com/company/1556243,Banking,2018-07-17 17:37:55.568803+00,2018-07-17 17:37:55.568829+00,4486,4486,895232,2018-07-17 04:00:00+00,0,f,0,494,169,255015494670456,2018-07-18 05:43:37.879843+00
1459,4582,tyler technologies,59125,2018-07-17,17794,3917,https://www.linkedin.com/company/9505,Computer Software,2018-07-17 20:18:50.82401+00,2018-07-17 20:18:50.824051+00,4256,4256,997465,2018-07-17 04:00:00+00,15,f,15,59,5,965955670126887,2018-07-18 05:44:01.820581+00
1460,4584,tyson foods,58754,2018-07-17,94334,17911,https://www.linkedin.com/company/166551,Food Production,2018-07-17 20:17:12.179717+00,2018-07-17 20:17:12.179757+00,4492,4492,53618,2018-07-17 04:00:00+00,103022,f,0,287072,41865,205200659535460,2018-07-18 05:49:05.46708+00
1461,4587,u.s. bank,58456,2018-07-17,180917,57600,https://www.linkedin.com/company/2532,Banking,2018-07-17 20:21:13.657024+00,2018-07-17 20:21:13.657095+00,4554,4554,56004,2018-07-16 04:00:00+00,0,f,1826,299359,31510,313163945066,2018-07-17 05:34:25.517159+00
1462,4588,u.s. cellular,871131,2018-07-17,28221,9640,https://www.linkedin.com/company/4729,Wireless,2018-07-17 20:21:24.99193+00,2018-07-17 20:21:24.991959+00,4555,4555,53631,2018-07-16 04:00:00+00,5858,f,28395,546538,43747,165716504171,2018-07-17 05:34:25.986264+00
1463,4590,"u.s. physical therapy, inc.",900463,2018-07-17,4048,280,https://www.linkedin.com/company/71763,"Health, Wellness and Fitness",2018-07-17 20:21:36.134269+00,2018-07-17 20:21:36.134296+00,4561,4561,900573,2018-07-16 04:00:00+00,209,f,209,2340,50,214471269359,2018-07-17 05:34:26.21144+00
1464,4598,uds enterprise,2126812,2018-03-23,42,0,https://www.linkedin.com/company/5210189,Computer Software,2018-02-17 19:25:12+00,2018-02-17 19:25:12+00,1343,1343,69099,2018-07-17 04:00:00+00,208,f,208,791,65,330902766953858,2018-07-18 05:40:52.207476+00
1465,4600,"ufp technologies, inc.",971928,2018-07-17,1694,256,https://www.linkedin.com/company/96702,Plastics,2018-07-17 17:42:17.609725+00,2018-07-17 17:42:17.609775+00,4498,4498,975050,2018-07-17 04:00:00+00,166,f,0,315,43,120468211322901,2018-07-17 05:28:12.088204+00
1466,4604,ulta beauty,58698,2018-07-17,120508,15917,https://www.linkedin.com/company/166572,Retail,2018-07-17 17:42:49.811755+00,2018-07-17 17:42:49.811781+00,4504,4504,53145,2018-07-16 04:00:00+00,0,f,261648,3050701,142690,57162292232,2018-07-17 05:28:12.452798+00
1467,4610,ultralife corporation,971930,2018-07-17,1700,158,https://www.linkedin.com/company/71831,Electrical/Electronic Manufacturing,2018-07-17 17:42:39.385207+00,2018-07-17 17:42:39.385232+00,4512,4512,975051,2018-07-17 04:00:00+00,7,f,7,497,54,1638169473124709,2018-07-18 05:43:46.500333+00
1468,4611,ultrapar,2097428,2018-02-17,44520,1035,https://www.linkedin.com/company/9346,Oil & Energy,2018-02-17 19:25:12+00,2018-02-17 19:25:12+00,4508,4508,900564,2018-07-17 04:00:00+00,499,f,499,1749,334,197842166913663,2018-07-18 05:49:11.105751+00
1469,4612,umb bank,871584,2018-07-17,13256,3509,https://www.linkedin.com/company/6565,Financial Services,2018-07-17 17:43:00.641763+00,2018-07-17 17:43:00.641806+00,4513,4513,53146,2018-07-17 04:00:00+00,181,f,4813,7669,1985,211199048925162,2018-07-18 05:43:46.793496+00
1470,4614,umpqua bank,871102,2018-07-17,14227,3406,https://www.linkedin.com/company/17603,Banking,2018-07-17 17:43:01.107165+00,2018-07-17 17:43:01.107201+00,4516,4516,53147,2018-07-17 04:00:00+00,457,f,457,50355,4399,136874746358544,2018-07-17 05:28:12.647068+00
1471,4615,under armour,58837,2018-07-17,388908,8859,https://www.linkedin.com/company/14140,Sporting Goods,2018-07-17 20:18:51.258447+00,2018-07-17 20:18:51.258502+00,4519,4519,53625,2018-07-16 04:00:00+00,1195,f,77040,9958978,161914,8741241286,2018-07-17 05:34:18.324419+00
1472,4617,unified payments,908864,2018-07-17,990,319,https://www.linkedin.com/company/1876464,Financial Services,2018-07-17 16:44:54.39866+00,2018-07-17 16:44:54.398707+00,4522,4522,909244,2018-07-17 04:00:00+00,95,f,95,18801,10313,198232636855529,2018-07-18 05:42:27.637385+00
1473,4619,unilever,58376,2018-07-17,3335998,111102,https://www.linkedin.com/company/1248,Consumer Goods,2018-07-17 20:20:18.324908+00,2018-07-17 20:20:18.324934+00,4524,4524,64011,2018-07-16 04:00:00+00,0,f,0,3774628,518903,24496278123,2018-07-17 05:34:24.211084+00
1474,4626,unit corporation,1344031,2018-07-17,8952,650,https://www.linkedin.com/company/61425,Oil & Energy,2018-07-17 20:20:40.333286+00,2018-07-17 20:20:40.333312+00,4528,4528,1344074,2018-06-14 04:00:00+00,107,f,0,534,103,150266038365958,2018-06-15 22:51:56.104164+00
1475,4628,united bank,971923,2018-07-17,3125,908,https://www.linkedin.com/company/633891,Banking,2018-07-17 17:41:23.036355+00,2018-07-17 17:41:23.036382+00,4530,4530,911204,2017-03-17 04:00:00+00,43,f,0,673,101,151570301640851,2017-03-17 20:09:20.612604+00
1476,4632,united community bank,894995,2018-07-17,3746,1462,https://www.linkedin.com/company/30695,Banking,2018-07-17 17:41:45.097758+00,2018-07-17 17:41:45.097784+00,4532,4532,53143,2018-07-17 04:00:00+00,59,f,59,1162,1216,465399433563098,2018-07-18 05:43:45.143606+00
1477,4633,united fire group,971927,2017-07-28,2969,798,https://www.linkedin.com/company/71890,Insurance,2017-07-28 09:31:11.043081+00,2017-07-28 09:31:11.043132+00,4533,4533,53144,2018-07-17 04:00:00+00,232,f,232,1637,397,189668391049114,2018-07-18 05:43:45.566414+00
1478,4639,united therapeutics,869197,2017-06-27,7060,710,https://www.linkedin.com/company/30703,Pharmaceuticals,2017-06-27 06:38:45.786752+00,2017-06-27 06:38:45.786802+00,924,924,1006355,2018-07-17 04:00:00+00,7,f,0,4361,69,1448224778776604,2018-07-18 05:40:24.599766+00
1479,4642,unitedhealth group,58382,2018-07-17,498375,106277,https://www.linkedin.com/company/1720,Hospital &amp; Health Care,2018-07-17 20:20:29.114681+00,2018-07-17 20:20:29.114707+00,153,153,916873,2018-07-16 04:00:00+00,4,f,0,1219,14,106088956160,2018-07-17 05:24:45.228986+00
1480,4643,unitedhealthcare,2133857,2018-03-23,12794,0,https://www.linkedin.com/company/3617441,Hospital & Health Care,2018-02-17 19:25:12+00,2018-02-17 19:25:12+00,4534,4534,69433,2018-07-17 04:00:00+00,713,f,0,180991,22069,1396450970569871,2018-07-18 05:49:13.878394+00
1481,4645,unitil,900465,2018-07-17,1516,318,https://www.linkedin.com/company/156311,Utilities,2018-07-17 20:21:46.92391+00,2018-07-17 20:21:46.923961+00,4538,4538,53632,2018-07-17 04:00:00+00,49,f,29,4221,2933,111879652320906,2018-07-17 05:34:26.424051+00
1482,4647,univar,900461,2018-07-17,81961,5940,https://www.linkedin.com/company/8652,Chemicals,2018-07-17 20:20:50.750442+00,2018-07-17 20:20:50.750468+00,4539,4539,900572,2018-07-17 04:00:00+00,193,f,188,2638,415,128748420532044,2018-07-17 05:34:24.995414+00
1483,4655,univest,911003,2018-07-17,3208,757,https://www.linkedin.com/company/45630,Financial Services,2018-07-17 17:44:16.907415+00,2018-07-17 17:44:16.907445+00,4542,4542,52828,2016-11-15 05:00:00+00,37,f,37,1873,7,268295209873317,2017-02-14 03:49:18.430068+00
1484,4657,unyson,904563,2018-07-17,4719,300,https://www.linkedin.com/company/66045,Logistics and Supply Chain,2018-07-17 16:11:16.244897+00,2018-07-17 16:11:16.244941+00,4544,4544,907207,2018-07-17 04:00:00+00,99,f,0,228,53,725082687543242,2018-07-18 05:41:33.723687+00
1485,4658,upc insurance,894997,2018-07-17,1653,172,https://www.linkedin.com/company/3337103,Insurance,2018-07-17 17:42:38.97166+00,2018-07-17 17:42:38.971685+00,1427,1427,52786,2018-07-16 04:00:00+00,495,f,0,2133,406,95373209853,2018-07-17 05:25:24.295683+00
1486,4659,ups,868200,2018-07-17,573679,154090,https://www.linkedin.com/company/1523,Transportation/Trucking/Railroad,2018-07-17 20:20:52.275009+00,2018-07-17 20:20:52.27504+00,4545,4545,64012,2018-07-17 04:00:00+00,2142,f,9775,1820464,228745,154423787905266,2018-07-18 05:49:14.08839+00
1487,4665,urban outfitters europe,2085874,2018-02-17,28269,241,https://www.linkedin.com/company/5014566,Retail,2018-02-17 19:25:12+00,2018-02-17 19:25:12+00,4547,4547,59644,2018-07-16 04:00:00+00,0,f,169152,2232073,28369,13473238797,2018-07-17 05:28:13.706023+00
1488,4669,us foods,1333753,2018-07-17,111409,14414,https://www.linkedin.com/company/166714,Food & Beverages,2018-07-17 20:21:14.150017+00,2018-07-17 20:21:14.150042+00,4557,4557,1136296,2018-07-17 04:00:00+00,516,f,516,83456,6948,194632900644675,2018-07-18 05:49:14.723117+00
1489,4674,usa technologies inc.,971935,2018-07-17,5610,1897,https://www.linkedin.com/company/50578,Information Technology and Services,2018-07-17 17:43:44.80868+00,2018-07-17 17:43:44.808728+00,4549,4549,975054,2018-07-17 04:00:00+00,34,f,34,1253,130,278111992200376,2018-07-18 05:43:48.527764+00
1490,4675,usa today,2127583,2018-02-17,269142,3205,https://www.linkedin.com/company/5502,Newspapers,2018-02-17 19:25:12+00,2018-02-17 19:25:12+00,4550,4550,61368,2018-07-16 04:00:00+00,3463,f,0,15233696,3635912,13652355666,2018-07-17 05:30:42.124846+00
